codice_istat;cap
;
058021;00010
058040;00010
058056;00010
058061;00010
058063;00010
058066;00010
058067;00010
058078;00010
058095;00010
058096;00010
058098;00010
058047;00012
058059;00013
058122;00013
058065;00015
058071;00017
058075;00018
058104;00019
058002;00020
058008;00020
058014;00020
058017;00020
058027;00020
058028;00020
058030;00020
058031;00020
058048;00020
058053;00020
058055;00020
058076;00020
058077;00020
058083;00020
058084;00020
058087;00020
058094;00020
058101;00020
058108;00020
058109;00020
058113;00020
058001;00021
058006;00022
058010;00023
058023;00024
058044;00025
058051;00026
058092;00027
058103;00028
058112;00029
058012;00030
058019;00030
058025;00030
058035;00030
058041;00030
058042;00030
058045;00030
058049;00030
058062;00030
058085;00030
058089;00030
058090;00030
058100;00030
058119;00030
058011;00031
058020;00032
058026;00033
058034;00034
058073;00035
058074;00036
058102;00037
058110;00038
058114;00039
058086;00040
058117;00040
058003;00041
058007;00042
058118;00043
058039;00044
058043;00045
058046;00046
058057;00047
058072;00048
058111;00049
058004;00051
058029;00052
058032;00053
058120;00054
058116;00055
058097;00058
058105;00059
058016;00060
058018;00060
058024;00060
058033;00060
058037;00060
058038;00060
058052;00060
058058;00060
058069;00060
058080;00060
058081;00060
058093;00060
058099;00060
058106;00060
058005;00061
058013;00062
058015;00063
058036;00065
058054;00066
058068;00067
058082;00068
058107;00069
058079;00071
058009;00072
058022;00073
058070;00074
058050;00075
058115;00076
058060;00077
058064;00078
058088;00079
058091;00118
058091;00119
058091;00120
058091;00121
058091;00122
058091;00123
058091;00124
058091;00125
058091;00126
058091;00127
058091;00128
058091;00131
058091;00132
058091;00133
058091;00134
058091;00135
058091;00136
058091;00137
058091;00138
058091;00139
058091;00141
058091;00142
058091;00143
058091;00144
058091;00145
058091;00146
058091;00147
058091;00148
058091;00149
058091;00151
058091;00152
058091;00153
058091;00154
058091;00155
058091;00156
058091;00157
058091;00158
058091;00159
058091;00161
058091;00162
058091;00163
058091;00164
058091;00165
058091;00166
058091;00167
058091;00168
058091;00169
058091;00171
058091;00172
058091;00173
058091;00174
058091;00175
058091;00176
058091;00177
058091;00178
058091;00179
058091;00181
058091;00182
058091;00183
058091;00184
058091;00185
058091;00186
058091;00187
058091;00188
058091;00189
058091;00191
058091;00192
058091;00193
058091;00195
058091;00196
058091;00197
058091;00198
058091;00199
056002;01010
056004;01010
056007;01010
056013;01010
056020;01010
056026;01010
056028;01010
056031;01010
056032;01010
056034;01010
056037;01010
056040;01010
056041;01010
056043;01010
056046;01010
056051;01010
056056;01010
056012;01011
056014;01012
056035;01014
056049;01015
056050;01016
056052;01017
056053;01018
056057;01019
056009;01020
056019;01020
056022;01020
056029;01020
056033;01020
056044;01020
056047;01020
056001;01021
056003;01022
056008;01023
056018;01024
056030;01025
056036;01027
056042;01028
056005;01030
056006;01030
056010;01030
056011;01030
056016;01030
056017;01030
056023;01030
056025;01030
056038;01030
056054;01030
056055;01030
056060;01030
056015;01032
056021;01033
056024;01034
056027;01035
056039;01036
056045;01037
056048;01038
056058;01039
056059;01100
057006;02010
057008;02010
057015;02010
057017;02010
057022;02010
057032;02010
057037;02010
057045;02010
057060;02010
057001;02011
057002;02012
057003;02013
057009;02014
057016;02015
057033;02016
057051;02018
057057;02019
057004;02020
057005;02020
057013;02020
057019;02020
057020;02020
057023;02020
057034;02020
057036;02020
057046;02020
057048;02020
057071;02020
057073;02020
057007;02021
057018;02022
057028;02023
057049;02024
057050;02025
057062;02026
057011;02030
057030;02030
057055;02030
057056;02030
057058;02030
057069;02030
057014;02031
057027;02032
057041;02033
057044;02034
057047;02035
057054;02037
057064;02038
057068;02039
057010;02040
057024;02040
057026;02040
057038;02040
057039;02040
057040;02040
057042;02040
057043;02040
057052;02040
057061;02040
057063;02040
057065;02040
057067;02040
057072;02040
057012;02041
057021;02042
057025;02043
057029;02044
057031;02045
057035;02046
057053;02047
057066;02048
057070;02049
057059;02100
060002;03010
060028;03010
060034;03010
060039;03010
060048;03010
060053;03010
060071;03010
060073;03010
060078;03010
060080;03010
060081;03010
060087;03010
060003;03011
060006;03012
060033;03013
060035;03014
060042;03016
060045;03017
060046;03018
060076;03019
060009;03020
060023;03020
060032;03020
060041;03020
060047;03020
060051;03020
060075;03020
060079;03020
060082;03020
060090;03020
060005;03021
060014;03022
060024;03023
060025;03024
060044;03025
060055;03026
060058;03027
060064;03028
060085;03029
060015;03030
060016;03030
060017;03030
060020;03030
060022;03030
060027;03030
060029;03030
060037;03030
060049;03030
060052;03030
060057;03030
060059;03030
060069;03030
060086;03030
060089;03030
060007;03031
060008;03032
060010;03033
060018;03034
060036;03035
060043;03036
060056;03037
060060;03038
060074;03039
060001;03040
060012;03040
060013;03040
060021;03040
060030;03040
060040;03040
060050;03040
060054;03040
060061;03040
060065;03040
060066;03040
060070;03040
060072;03040
060077;03040
060083;03040
060084;03040
060088;03040
060091;03040
060004;03041
060011;03042
060019;03043
060026;03044
060031;03045
060062;03046
060063;03047
060067;03048
060068;03049
060038;03100
059002;04010
059006;04010
059013;04010
059016;04010
059020;04010
059021;04010
059022;04010
059023;04010
059029;04010
059001;04011
059005;04012
059027;04013
059017;04014
059019;04015
059024;04016
059025;04017
059028;04018
059032;04019
059003;04020
059010;04020
059015;04020
059026;04020
059031;04020
059004;04021
059007;04022
059008;04023
059009;04024
059012;04025
059014;04026
059018;04027
059030;04029
059033;04031
059011;04100
055020;05010
055025;05010
055028;05010
055030;05010
055002;05011
055006;05012
055009;05013
055010;05014
055011;05015
055013;05016
055021;05017
055023;05018
055003;05020
055016;05020
055018;05020
055033;05020
055001;05021
055004;05022
055007;05023
055014;05024
055015;05025
055017;05026
055026;05028
055029;05029
055019;05030
055024;05030
055027;05030
055005;05031
055008;05032
055012;05034
055022;05035
055031;05039
055032;05100
054011;06010
054032;06010
054013;06012
054033;06014
054044;06016
054056;06019
054016;06021
054019;06022
054023;06023
054024;06024
054034;06025
054041;06026
054046;06027
054049;06028
054057;06029
054021;06030
054048;06030
054059;06030
054004;06031
054006;06033
054018;06034
054022;06035
054030;06036
054050;06038
054054;06039
054042;06040
054045;06040
054047;06040
054058;06040
054010;06041
054005;06042
054007;06043
054008;06044
054031;06045
054035;06046
054043;06047
054051;06049
054014;06050
054017;06053
054020;06054
054027;06055
054028;06056
054029;06057
054052;06059
054025;06060
054036;06060
054009;06061
054012;06062
054026;06063
054037;06064
054038;06065
054040;06066
054055;06069
054015;06073
054001;06081
054002;06083
054003;06084
054053;06089
054039;06121
054039;06122
054039;06123
054039;06124
054039;06125
054039;06126
054039;06127
054039;06128
054039;06129
054039;06131
054039;06132
054039;06133
054039;06134
054039;06135
112002;07010
112003;07010
112005;07010
112011;07010
112012;07010
112014;07010
112020;07010
112022;07010
112024;07010
112025;07010
112026;07010
112029;07010
112031;07010
112034;07010
112035;07010
112048;07010
112052;07010
112061;07010
112008;07011
112009;07012
112032;07013
112040;07014
112041;07015
112042;07016
112044;07017
112046;07018
112066;07019
113001;07020
113002;07020
113003;07020
113008;07020
113011;07020
113013;07020
113014;07020
113016;07020
113019;07020
113020;07020
113024;07020
113004;07021
113006;07022
113010;07023
113012;07024
113015;07025
113017;07026
113018;07027
113022;07028
113025;07029
112013;07030
112015;07030
112018;07030
112021;07030
112023;07030
112028;07030
112030;07030
112033;07030
112049;07030
112057;07030
112065;07030
113005;07030
113007;07030
113023;07030
112016;07031
112036;07032
112038;07033
112043;07034
112051;07035
112053;07036
112055;07037
113026;07038
112064;07039
112004;07040
112006;07040
112010;07040
112017;07040
112019;07040
112037;07040
112047;07040
112054;07040
112056;07040
112059;07040
112062;07040
112001;07041
112007;07043
112027;07044
112039;07045
112045;07046
112058;07047
112060;07048
112063;07049
113009;07051
113021;07052
112050;07100
114005;08010
114012;08010
114018;08010
114026;08010
114007;08011
114009;08012
114023;08015
114008;08016
114046;08017
114047;08018
114015;08020
114016;08020
114017;08020
114019;08020
114020;08020
114021;08020
114022;08020
114029;08020
114030;08020
114031;08020
114032;08020
114033;08020
114037;08020
114039;08020
114040;08020
114041;08020
114042;08020
114043;08020
114044;08020
114051;08020
114053;08020
114006;08021
114011;08022
114013;08023
114024;08024
114028;08025
