sigla_provincia;codice_istat;denominazione_ita;codice_belfiore;data_inizio_validita;data_fine_validita;stato_validita
PD;028001;ABANO;A001;19/11/1866;13/11/1924;Inattivo
PD;028001;"ABANO TERME";A001;14/11/1924;;Attivo
TO;001801;"ABBADIA ALPINA";A003;01/04/1864;05/12/1928;Inattivo
MI;015001;"ABBADIA CERRETO";A004;17/03/1861;15/04/1992;Inattivo
LO;098001;"ABBADIA CERRETO";A004;16/04/1992;;Attivo
CO;013001;"ABBADIA LARIANA";A005;06/03/1928;15/04/1992;Inattivo
LC;097001;"ABBADIA LARIANA";A005;16/04/1992;;Attivo
SI;052001;"ABBADIA SAN SALVATORE";A006;22/07/1867;;Attivo
CO;013801;"ABBADIA SOPRA ADDA";A002;23/02/1863;06/03/1928;Inattivo
CA;092001;ABBASANTA;A007;02/11/1934;19/08/1974;Inattivo
CA;092001;ABBASANTA;A007;17/03/1861;27/07/1927;Inattivo
OR;095001;ABBASANTA;A007;20/08/1974;31/03/2025;Inattivo
OR;115001;Abbasanta;A007;01/04/2025;;Attivo
PE;068001;ABBATEGGIO;A008;10/01/1947;;Attivo
PE;068001;ABBATEGGIO;A008;12/01/1927;22/05/1929;Inattivo
CH;069803;ABBATEGGIO;A008;17/03/1861;11/01/1927;Inattivo
FU;701701;ABBAZIA;A009;22/12/1931;15/09/1947;Inattivo
MI;015002;ABBIATEGRASSO;A010;05/04/1869;;Attivo
VA;012801;ABBIATEGUAZZONE;A011;12/01/1927;18/06/1928;Inattivo
CO;013962;ABBIATEGUAZZONE;A011;17/03/1861;11/01/1927;Inattivo
PT;047001;ABETONE;A012;26/07/1936;31/12/2016;Inattivo
PT;047023;"ABETONE CUTIGLIANO";M376;01/01/2017;;Attivo
PZ;076001;ABRIOLA;A013;17/03/1861;;Attivo
RG;088001;ACATE;A014;09/07/1938;;Attivo
AV;064809;ACCADIA;A015;17/03/1861;05/08/1927;Inattivo
FG;071001;ACCADIA;A015;06/08/1927;;Attivo
CN;004001;ACCEGLIO;A016;17/03/1861;;Attivo
PZ;076802;ACCETTURA;A017;17/03/1861;11/01/1927;Inattivo
MT;077001;ACCETTURA;A017;12/01/1927;;Attivo
AQ;066001;ACCIANO;A018;17/03/1861;;Attivo
RI;057001;ACCUMOLI;A019;12/01/1927;;Attivo
AQ;066808;ACCUMOLI;A019;17/03/1861;11/01/1927;Inattivo
PZ;076002;ACERENZA;A020;17/03/1861;;Attivo
BZ;021801;ACERETO;A021;12/01/1927;08/02/1929;Inattivo
TN;022943;ACERETO;A021;14/02/1923;11/01/1927;Inattivo
TN;802001;ACERETO;A021;16/10/1920;13/02/1923;Inattivo
TN;022970;ACERNES;A022;14/02/1923;26/04/1923;Inattivo
TN;802105;ACERNES;A022;16/10/1920;13/02/1923;Inattivo
SA;065001;ACERNO;A023;17/03/1861;;Attivo
CE;061810;ACERRA;A024;17/03/1861;11/01/1927;Inattivo
NA;063001;ACERRA;A024;12/01/1927;;Attivo
CT;087001;"ACI BONACCORSI";A025;17/03/1861;;Attivo
CT;087002;"ACI CASTELLO";A026;17/03/1861;;Attivo
CT;087003;"ACI CATENA";A027;17/03/1861;;Attivo
CT;087005;"ACI SANT'ANTONIO";A029;17/03/1861;;Attivo
CT;087004;ACIREALE;A028;17/03/1861;;Attivo
MC;043001;ACQUACANINA;A031;17/03/1861;31/12/2016;Inattivo
FR;060001;ACQUAFONDATA;A032;12/01/1927;;Attivo
CE;061811;ACQUAFONDATA;A032;23/07/1902;11/01/1927;Inattivo
CS;078001;ACQUAFORMOSA;A033;17/03/1861;;Attivo
BS;017001;ACQUAFREDDA;A034;17/03/1861;;Attivo
PU;041001;ACQUALAGNA;A035;17/03/1861;;Attivo
BS;017801;ACQUALUNGA;A036;17/03/1861;31/12/1927;Inattivo
CR;019001;"ACQUANEGRA CREMONESE";A039;01/01/1868;;Attivo
MN;020001;"ACQUANEGRA SUL CHIESE";A038;01/07/1868;;Attivo
VT;056001;ACQUAPENDENTE;A040;12/01/1927;;Attivo
RM;058803;ACQUAPENDENTE;A040;15/01/1871;11/01/1927;Inattivo
CS;078002;ACQUAPPESA;A041;22/02/1945;;Attivo
CS;078002;ACQUAPPESA;A041;17/03/1861;25/01/1928;Inattivo
LE;075001;"ACQUARICA DEL CAPO";A042;17/03/1861;14/05/2019;Inattivo
CZ;079001;ACQUARO;A043;17/03/1861;15/04/1992;Inattivo
VV;102001;ACQUARO;A043;16/04/1992;;Attivo
AP;044001;ACQUASANTA;A044;25/12/1865;14/12/1957;Inattivo
AP;044001;"ACQUASANTA TERME";A044;15/12/1957;;Attivo
PG;054808;ACQUASPARTA;A045;17/03/1861;11/01/1927;Inattivo
TR;055001;ACQUASPARTA;A045;12/01/1927;;Attivo
CO;013802;ACQUATE;A046;17/03/1861;11/01/1924;Inattivo
CB;070001;"ACQUAVIVA COLLECROCE";A050;17/03/1861;;Attivo
CB;070002;"ACQUAVIVA D'ISERNIA";A051;17/03/1861;31/05/1928;Inattivo
CB;070002;"ACQUAVIVA D'ISERNIA";A051;26/04/1946;02/03/1970;Inattivo
IS;094001;"ACQUAVIVA D'ISERNIA";A051;03/03/1970;;Attivo
BA;072001;"ACQUAVIVA DELLE FONTI";A048;19/01/1863;;Attivo
AP;044002;"ACQUAVIVA PICENA";A047;24/11/1862;;Attivo
CL;085001;"ACQUAVIVA PLATANI";A049;31/10/1862;;Attivo
ME;083107;ACQUEDOLCI;M211;01/01/1861;;Attivo
AL;006001;ACQUI;A052;17/03/1861;23/05/1956;Inattivo
AL;006001;"ACQUI TERME";A052;24/05/1956;;Attivo
CS;078003;ACRI;A053;17/03/1861;;Attivo
RM;058804;ACUTO;A054;15/01/1871;11/01/1927;Inattivo
FR;060002;ACUTO;A054;12/01/1927;;Attivo
BA;072002;ADELFIA;A055;08/11/1927;;Attivo
CT;087006;ADERNO';A056;17/03/1861;22/08/1929;Inattivo
CT;087006;ADRANO;A056;23/08/1929;;Attivo
BG;016001;"ADRARA SAN MARTINO";A057;17/03/1861;;Attivo
BG;016002;"ADRARA SAN ROCCO";A058;17/03/1861;;Attivo
RO;029001;ADRIA;A059;19/11/1866;;Attivo
BS;017002;ADRO;A060;17/03/1861;;Attivo
VR;023001;AFFI;A061;19/11/1866;;Attivo
RM;058001;AFFILE;A062;15/01/1871;;Attivo
MI;015801;AFFORI;A063;23/08/1884;13/10/1923;Inattivo
NA;063002;AFRAGOLA;A064;17/03/1861;;Attivo
RC;080001;AFRICO;A065;17/03/1861;;Attivo
NO;003801;AGARO;A066;17/03/1861;16/10/1928;Inattivo
PC;033001;AGAZZANO;A067;17/03/1861;;Attivo
NA;063003;AGEROLA;A068;17/03/1861;;Attivo
SS;090001;AGGIUS;A069;17/03/1861;31/12/2005;Inattivo
SS;090001;AGGIUS;A069;28/04/2016;31/03/2025;Inattivo
